Start X,Start Y,Angle
615302.1142,814996.4050,266
615293.6782,814995.8790,272
615286.8172,814996.2160,266
615282.1848,814995.4119,263
615279.7450,814995.2239,265
615274.5958,814994.6996,258
615272.6367,814994.1666,259
615270.6539,814993.6723,262
615268.1687,814993.3652,262
615263.0017,814992.8625,282
615260.7523,814993.3696,289
615256.6550,814995.7422,289
615236.0138,815001.3510,293
615232.9278,815003.9319,302
615227.0536,815008.4642,314
615222.6353,815012.6274,297
615218.6912,815014.0115,287
615215.3683,815014.6571,283
615210.0050,815015.6231,273
615203.3908,815015.9108,279
615201.6274,815016.1135,280
