,Start X,Start Y,Angle
18W,615224.9025,815526.5636,53.03
19W,615214.943,815537.8302,48.82
20W,615210.7361,815540.0085,30.64
21W,615206.3269,815543.668,58.37
22W,615197.6124,815553.6226,24.53
23W,615194.0005,815555.9063,45.38
24W,615184.3331,815563.8901,47.56
25W,615180.4789,815567.0439,42.71
26W,615165.781,815584.4641,40.65
27W,615161.8214,815592.3594,49.21
28W,615154.247,815601.0368,43.3
29W,615149.826,815605.1845,49.3
30W,615148.167,815607.2606,58.4
31W,615147.2662,815609.2362,64.99
32W,615146.239,815611.6117,59.81
33W,615140.8711,815615.6133,36.03
34W,615137.734,815617.7294,52.17
35W,615135.5215,815622.2007,50.61
36W,615132.744,815626.0302,52.87
37W,615130.7107,815629.1616,56.53
38W,615129.1276,815632.182,61.46
39W,615127.1155,815634.6721,54.45
40W,615125.3466,815637.592,63.7
41W,615121.125,815643.2005,43.86
42W,615115.6665,815647.2236,42.91
43W,615113.2782,815650.2167,57.48
44W,615110.3305,815654.0926,52.07
45W,615107.3089,815657.7157,52.65
46W,615103.8846,815662.471,61.1
47W,615101.5128,815665.9506,42.93
48W,615097.1905,815669.6232,44.76
49W,615094.2625,815673.2834,59.2
50W,615091.2961,815677.4063,68.56
51W,615090.7534,815682.3241,86.44
52W,615090.6627,815685.8536,84.76
